Subject_ID,SBSOD,SOT_Angle,SOT_Error,MRM,DSP_Wayfinding,DSP_SI,MAZE_Wayfinding,MAZE_Moves,LOOP_MeanPositionErr,LOOP_PositionPSTD,LOOP_MeanDegrees,LOOP_DegreePSTD
310,3.333333333,176.4166667,33.58333333,100,0.65,0.153846154,0,269,1.370605778,0.837133402,396.5134294,35.5910872
312,4.2,170.0833333,30.25,100,0.6,0.25,8.333333333,266,1.171936307,0.740533667,332.6235736,33.17870782
313,5.4,198.4166667,74.75,80,0.75,0,20.83333333,288,1.438187747,0.95253526,350.5439437,37.01637904
315,4.066666667,182.75,24.75,100,0.65,0.230769231,12.5,299,1.989071614,0.975835299,416.838142,68.1348963
319,6,180.4166667,31.08333333,75,0.6,0.083333333,4.166666667,266,1.555376762,1.098715833,347.5975984,69.32250566
320,6.4,209.5,35.5,94.11764706,1,0.2,62.5,273,2.062230205,1.15521274,420.3661677,58.15037184
321,6.533333333,194.75,10.25,100,0.75,0.2,12.5,315,1.230118023,0.772614482,344.9175343,44.90390651
322,4.333333333,194.3333333,9.166666667,100,0.65,0.153846154,8.333333333,269,2.328188294,0.899963387,332.4740238,83.55518542
323,5.6,182.5833333,17.75,100,0.75,0.4,29.16666667,274,1.243971635,0.662594689,341.1139906,41.96415125
324,4.4,179.6666667,24.66666667,92.85714286,0.45,0.333333333,4.166666667,288,2.879014173,0.860717835,258.1614881,70.45680407
327,5.133333333,195.8333333,11.16666667,100,0.95,0,4.166666667,264,1.405598443,0.629773904,346.4083052,55.37540538
330,5.933333333,192.5833333,5.75,94.73684211,0.85,0.117647059,37.5,263,1.09113804,0.779611029,346.6694158,35.42665449
345,5.733333333,195.75,21.25,94.11764706,0.6,0.083333333,8.33,217,0.715243526,0.555083898,334.2987154,27.34067918
346,4.733333333,191.5,36.33333333,100,0.85,0.176470588,8.33,187,1.129864941,0.695897677,392.3552166,38.65625419
347,5.133333333,188.1666667,11.16666667,100,0.85,0.176470588,0,186,1.355874842,0.702450269,385.4958159,30.05531422
348,4.933333333,189.8333333,25,100,0.85,0,12.5,245,1.676540128,0.968679408,330.2146359,47.00414671
351,4.866666667,167.4166667,20.25,100,0.6,0.333333333,25,205,1.557050814,0.864819922,314.2025968,35.51426371
353,6.4,186.75,11.58333333,100,0.95,0,16.67,300,1.162711452,0.490394254,342.8158391,24.29557515
354,5.8,195.3333333,18,100,0.9,0.111111111,16.67,240,1.735410659,1.131504414,433.0425819,139.5307841
356,4.533333333,189.5833333,9.083333333,90.90909091,0.8,0.083333333,16.67,199,2.575158526,0.799680485,488.3051734,75.14014019
357,6.4,191.8333333,33.5,100,0.85,0.352941176,8.33,185,1.976590752,1.031395488,311.0011998,49.10311911
358,4.533333333,153.9166667,56.08333333,75,0.6,0.25,4.17,200,3.21522391,0.534210655,478.7180062,46.91918237
501,5.133333333,199.75,40.08333333,94.44444444,0.85,0.058823529,8.33,232,1.472177366,0.847283269,335.7524175,59.05371857
503,4.666666667,144.75,50.91666667,100,0.95,0.263157895,75,286,2.867622889,0.811184839,449.4600833,37.52799394
505,3.466666667,189.3333333,19.16666667,88.88888889,0.85,0,33.33,249,2.779953376,0.90821659,280.7604513,72.64585525
506,4.266666667,77.66666667,68.5,83.33333333,0.9,0.111111111,12.5,248,2.111158464,0.968175356,338.1701251,47.14031625
507,3.933333333,188.3333333,51.33333333,65,0.9,0.166666667,62.5,251,2.600415132,0.803724854,273.0977395,30.2213137
508,4,186.1666667,18.33333333,64.70588235,0.95,0.157894737,0,243,2.911555088,0.66202921,266.9974994,54.07386986
509,3.266666667,190.25,20.58333333,63.15789474,1,0.2,58.33,311,1.639894544,0.906333286,322.6979624,38.3657757
510,4.266666667,185.75,49.41666667,85.71428571,0.95,0.210526316,8.33,245,1.094695514,0.801987706,364.112307,68.67918817
512,4.933333333,198.9166667,82.25,60,0.625,0.3,25,230,1.44489633,1.060256949,387.6811973,87.11922267
513,2.866666667,187.75,13.75,100,0.8,0,4.17,257,1.003444381,0.713553934,350.6202692,51.00537237
514,3.666666667,100.3,86.5,78.57142857,0.7,0.142857143,12.5,305,2.419352258,0.986234072,447.0128134,81.50682416
515,4.6,190.6666667,13.83333333,65,0.95,0.157894737,25,224,2.295281207,0.997171656,281.4117891,58.15280721
516,4.466666667,178.0833333,22.08333333,91.66666667,0.95,0.263157895,41.67,253,1.025839934,0.602107894,354.9497559,36.54014897
517,5.133333333,175.6666667,18.5,100,0.75,0.333333333,29.17,276,1.628695268,0.728006603,310.1356835,28.91921539
518,3.066666667,188.5833333,45.25,93.33333333,0.7,0.214285714,12.5,297,1.281963331,0.753300171,319.6599542,8.893065661
519,4.866666667,185.1666667,36.16666667,100,0.95,0.157894737,91.67,324,2.223795589,1.144208878,295.342919,87.41803904
520,4.4,189.5833333,5.083333333,100,1,0.25,83.33,302,0.726020498,0.387910333,352.293546,30.62190164
521,4.866666667,188.5,9.5,94.11764706,0.7,0.071428571,4.17,308,2.008261422,0.979585864,394.3190324,85.3986061
522,3,186,30.66666667,50,0.9,0.111111111,4.17,306,2.631727693,1.200563223,430.6395298,94.72952052
